Year,Donor.Name,variable,value
2019,Czech Republic,Reproductive health,0.063620015
2020,Czech Republic,Reproductive health,0.043873936
2021,Czech Republic,Reproductive health,0.217052863
2011,Denmark,Reproductive health,23.02739251
2012,Denmark,Reproductive health,13.52810398
2013,Denmark,Reproductive health,10.90068089
2014,Denmark,Reproductive health,9.566706847
2015,Denmark,Reproductive health,11.83162245
2016,Denmark,Reproductive health,4.427582326
2017,Denmark,Reproductive health,18.40666728
2018,Denmark,Reproductive health,25.52334818
2019,Denmark,Reproductive health,21.31342918
2020,Denmark,Reproductive health,23.06779019
2021,Denmark,Reproductive health,30.34747321
2017,Development Bank of Latin America,Reproductive health,0
2021,Development Bank of Latin America,Reproductive health,0
2013,Estonia,Reproductive health,0.009681563
2014,Estonia,Reproductive health,0.022347067
2015,Estonia,Reproductive health,0.021355153
2016,Estonia,Reproductive health,0.018357944
2017,Estonia,Reproductive health,0.018643528
2018,Estonia,Reproductive health,0.010077531
2019,Estonia,Reproductive health,0.00840962
2020,Estonia,Reproductive health,0.027505699
2021,Estonia,Reproductive health,0.05227298
2011,EU Institutions,Reproductive health,61.19742745
2012,EU Institutions,Reproductive health,71.06580779
2013,EU Institutions,Reproductive health,45.84775492
2014,EU Institutions,Reproductive health,59.65636447
2015,EU Institutions,Reproductive health,49.85121044
2016,EU Institutions,Reproductive health,49.4831898
2017,EU Institutions,Reproductive health,75.05136677
2018,EU Institutions,Reproductive health,22.21886487
2019,EU Institutions,Reproductive health,23.53084577
2020,EU Institutions,Reproductive health,91.99486256
2021,EU Institutions,Reproductive health,92.27024593
2020,Eurasian Fund for Stabilization and Development,Reproductive health,0.922387827
2021,Eurasian Fund for Stabilization and Development,Reproductive health,0.017417586
2011,Finland,Reproductive health,3.25247957
2012,Finland,Reproductive health,3.462521312
2013,Finland,Reproductive health,4.67381677
2014,Finland,Reproductive health,5.513298835
2015,Finland,Reproductive health,3.069775986
2016,Finland,Reproductive health,1.937849696
2017,Finland,Reproductive health,2.154586649
2018,Finland,Reproductive health,3.083801883
2019,Finland,Reproductive health,2.836438555
2020,Finland,Reproductive health,3.755339704
2021,Finland,Reproductive health,3.385190458
2013,Food and Agriculture Organisation,Reproductive health,0.11764476
2017,Food and Agriculture Organisation,Reproductive health,0.29005056
2018,Food and Agriculture Organisation,Reproductive health,0.094365437
2019,Food and Agriculture Organisation,Reproductive health,0.121104832
2020,Food and Agriculture Organisation,Reproductive health,0.097888737
2021,Food and Agriculture Organisation,Reproductive health,0.09822849
2011,France,Reproductive health,24.76505407
2012,France,Reproductive health,28.72315245
2013,France,Reproductive health,27.06458802
2014,France,Reproductive health,37.49378124
2015,France,Reproductive health,29.98361577
2016,France,Reproductive health,23.96656123
2017,France,Reproductive health,33.29567477
2018,France,Reproductive health,22.89448267
2019,France,Reproductive health,29.86801571
2020,France,Reproductive health,43.99443834
2021,France,Reproductive health,54.01774152
2011,Germany,Reproductive health,80.46071503
2012,Germany,Reproductive health,77.43299646
2013,Germany,Reproductive health,64.21111273
2014,Germany,Reproductive health,58.20718567
2015,Germany,Reproductive health,56.68769777
2016,Germany,Reproductive health,65.64852935
2017,Germany,Reproductive health,61.75820967
2018,Germany,Reproductive health,62.89349386
2019,Germany,Reproductive health,66.96480828
2020,Germany,Reproductive health,63.49907327
2021,Germany,Reproductive health,63.08296873
2011,Global Alliance for Vaccines and Immunization,Reproductive health,0.826387618
2012,Global Alliance for Vaccines and Immunization,Reproductive health,1.103343752
2013,Global Alliance for Vaccines and Immunization,Reproductive health,1.580268033
2014,Global Alliance for Vaccines and Immunization,Reproductive health,1.443922496
2015,Global Alliance for Vaccines and Immunization,Reproductive health,1.955783986
2016,Global Alliance for Vaccines and Immunization,Reproductive health,1.527819612
2017,Global Alliance for Vaccines and Immunization,Reproductive health,1.881092827
2018,Global Alliance for Vaccines and Immunization,Reproductive health,1.681407031
2019,Global Alliance for Vaccines and Immunization,Reproductive health,2.278492541
2020,Global Alliance for Vaccines and Immunization,Reproductive health,2.119486074
2021,Global Alliance for Vaccines and Immunization,Reproductive health,1.629049264
2011,Global Environment Facility,Reproductive health,0
2012,Global Environment Facility,Reproductive health,0
2013,Global Environment Facility,Reproductive health,0.191581182
2014,Global Environment Facility,Reproductive health,0.179121384
2015,Global Environment Facility,Reproductive health,0.198958032
2016,Global Environment Facility,Reproductive health,0.200272176
2017,Global Environment Facility,Reproductive health,0.294255349
2018,Global Environment Facility,Reproductive health,0.000972432
2019,Global Environment Facility,Reproductive health,0.000038142
2020,Global Environment Facility,Reproductive health,0
2021,Global Environment Facility,Reproductive health,0.073714004
2011,Global Fund,Reproductive health,756.4632666
2012,Global Fund,Reproductive health,918.2512538
2013,Global Fund,Reproductive health,1028.060593
2014,Global Fund,Reproductive health,781.6105087
2015,Global Fund,Reproductive health,795.8518645
2016,Global Fund,Reproductive health,867.5365705
2017,Global Fund,Reproductive health,865.4396014
2018,Global Fund,Reproductive health,586.8032365
2019,Global Fund,Reproductive health,604.2227805
2020,Global Fund,Reproductive health,1123.320926
2021,Global Fund,Reproductive health,1374.23226
2013,Global Green Growth Institute,Reproductive health,0
2014,Global Green Growth Institute,Reproductive health,0
2017,Global Green Growth Institute,Reproductive health,0
2018,Global Green Growth Institute,Reproductive health,0
2019,Global Green Growth Institute,Reproductive health,0
2020,Global Green Growth Institute,Reproductive health,0
2021,Global Green Growth Institute,Reproductive health,0
2011,Greece,Reproductive health,0.039312639
2012,Greece,Reproductive health,0.037792957
2013,Greece,Reproductive health,0.004585376
2014,Greece,Reproductive health,0.006689552
2015,Greece,Reproductive health,0.003421848
2016,Greece,Reproductive health,0.010199821
2017,Greece,Reproductive health,0.014972635
2018,Greece,Reproductive health,0.006760059
2019,Greece,Reproductive health,0.004604339
2020,Greece,Reproductive health,0.005146128
2021,Greece,Reproductive health,0.006648739
2015,Green Climate Fund,Reproductive health,0
2016,Green Climate Fund,Reproductive health,0
2017,Green Climate Fund,Reproductive health,0
2018,Green Climate Fund,Reproductive health,0
2019,Green Climate Fund,Reproductive health,0
2020,Green Climate Fund,Reproductive health,0
2021,Green Climate Fund,Reproductive health,0
2014,Hungary,Reproductive health,0.159069714
2015,Hungary,Reproductive health,0.349271077
2016,Hungary,Reproductive health,0.082139016
2017,Hungary,Reproductive health,0.072172395
2018,Hungary,Reproductive health,1.079837487
2019,Hungary,Reproductive health,0.652628785
2020,Hungary,Reproductive health,0.156187338
2021,Hungary,Reproductive health,0.163441352
2011,Iceland,Reproductive health,0.108178572
2012,Iceland,Reproductive health,0.057379474
2013,Iceland,Reproductive health,0.070323566
2014,Iceland,Reproductive health,0.037626807
2015,Iceland,Reproductive health,0.030842236
2016,Iceland,Reproductive health,0.037084474
2017,Iceland,Reproductive health,0.00692592
2018,Iceland,Reproductive health,0.079720944
2019,Iceland,Reproductive health,0.510278921
2020,Iceland,Reproductive health,0.307314694
2021,Iceland,Reproductive health,0.53029499
2011,IFAD,Reproductive health,0
2012,IFAD,Reproductive health,0
2013,IFAD,Reproductive health,0
2014,IFAD,Reproductive health,0
2015,IFAD,Reproductive health,0
2016,IFAD,Reproductive health,0
2017,IFAD,Reproductive health,0
2018,IFAD,Reproductive health,0
2019,IFAD,Reproductive health,0
2020,IFAD,Reproductive health,0
2021,IFAD,Reproductive health,0
2011,IMF (Concessional Trust Funds),Reproductive health,25.50419502
2012,IMF (Concessional Trust Funds),Reproductive health,22.57049442
2013,IMF (Concessional Trust Funds),Reproductive health,16.07505248
2014,IMF (Concessional Trust Funds),Reproductive health,10.35224335
2015,IMF (Concessional Trust Funds),Reproductive health,22.23233612
2016,IMF (Concessional Trust Funds),Reproductive health,18.92536744
2017,IMF (Concessional Trust Funds),Reproductive health,19.02678627
2018,IMF (Concessional Trust Funds),Reproductive health,16.47057026
2019,IMF (Concessional Trust Funds),Reproductive health,29.2817902
2020,IMF (Concessional Trust Funds),Reproductive health,145.5366734
2021,IMF (Concessional Trust Funds),Reproductive health,63.99408457
2011,Inter-American Development Bank,Reproductive health,1.341310159
2012,Inter-American Development Bank,Reproductive health,0.500207839
2013,Inter-American Development Bank,Reproductive health,0.674836967
2014,Inter-American Development Bank,Reproductive health,1.106119076
2015,Inter-American Development Bank,Reproductive health,1.558583636
2016,Inter-American Development Bank,Reproductive health,1.427189874
2017,Inter-American Development Bank,Reproductive health,2.932237316
2018,Inter-American Development Bank,Reproductive health,0.971178569
2019,Inter-American Development Bank,Reproductive health,1.768768679
2020,Inter-American Development Bank,Reproductive health,1.498170827
2021,Inter-American Development Bank,Reproductive health,1.911631685
2011,International Development Association,Reproductive health,108.6441492
2012,International Development Association,Reproductive health,77.51612907
2013,International Development Association,Reproductive health,76.29101897
2014,International Development Association,Reproductive health,62.74781643
2015,International Development Association,Reproductive health,89.69401662
2016,International Development Association,Reproductive health,85.11471033
2017,International Development Association,Reproductive health,71.40636793
2018,International Development Association,Reproductive health,108.1814929
2019,International Development Association,Reproductive health,88.50622619
2020,International Development Association,Reproductive health,106.7886274
2021,International Development Association,Reproductive health,90.1434592
2012,International Labour Organisation,Reproductive health,0
2013,International Labour Organisation,Reproductive health,0
2017,International Labour Organisation,Reproductive health,0
2020,International Labour Organisation,Reproductive health,0
2021,International Labour Organisation,Reproductive health,0
2011,Ireland,Reproductive health,13.56375848
2012,Ireland,Reproductive health,11.07732371
2013,Ireland,Reproductive health,10.19786636
2014,Ireland,Reproductive health,8.108845356
2015,Ireland,Reproductive health,5.997677934
2016,Ireland,Reproductive health,6.204254748
2017,Ireland,Reproductive health,5.006075215
2018,Ireland,Reproductive health,6.35758039
2019,Ireland,Reproductive health,5.576469869
2020,Ireland,Reproductive health,3.009742074
2021,Ireland,Reproductive health,2.09003975
2011,Islamic Development Bank,Reproductive health,0
2012,Islamic Development Bank,Reproductive health,0
2013,Islamic Development Bank,Reproductive health,0
2014,Islamic Development Bank,Reproductive health,0
2015,Islamic Development Bank,Reproductive health,0
2016,Islamic Development Bank,Reproductive health,0
2017,Islamic Development Bank,Reproductive health,0
2018,Islamic Development Bank,Reproductive health,0
2019,Islamic Development Bank,Reproductive health,0.383319156
2020,Islamic Development Bank,Reproductive health,0.371845094
2021,Islamic Development Bank,Reproductive health,0
2015,Israel,Reproductive health,0.000131782
2011,Italy,Reproductive health,6.475174604
2012,Italy,Reproductive health,2.024187354
2013,Italy,Reproductive health,5.020467539
2014,Italy,Reproductive health,5.567931895
2015,Italy,Reproductive health,2.941785868
2016,Italy,Reproductive health,4.890805966
2017,Italy,Reproductive health,4.460977487
2018,Italy,Reproductive health,6.736689209
2019,Italy,Reproductive health,5.803247285
2020,Italy,Reproductive health,2.729094374
2021,Italy,Reproductive health,4.987776415
2011,Japan,Reproductive health,21.18458477
2012,Japan,Reproductive health,26.57404599
2013,Japan,Reproductive health,39.08066436
2014,Japan,Reproductive health,24.66328034
2015,Japan,Reproductive health,22.68257542
2016,Japan,Reproductive health,26.52669819
2017,Japan,Reproductive health,30.95967605
2018,Japan,Reproductive health,16.5541272
2019,Japan,Reproductive health,14.74195695
2020,Japan,Reproductive health,44.50757484
2021,Japan,Reproductive health,42.84742895
2013,Kazakhstan,Reproductive health,0.014810261
2014,Kazakhstan,Reproductive health,0.014071444
2015,Kazakhstan,Reproductive health,0.015912035
2016,Kazakhstan,Reproductive health,0.004936019
2017,Kazakhstan,Reproductive health,0.000079412
2018,Kazakhstan,Reproductive health,0.049965336
2019,Kazakhstan,Reproductive health,0.041729739
2020,Kazakhstan,Reproductive health,0.022849123
2021,Kazakhstan,Reproductive health,0.02009374
2011,Korea,Reproductive health,2.520846671
2012,Korea,Reproductive health,3.674304829
2013,Korea,Reproductive health,4.111765308
2014,Korea,Reproductive health,4.935642466
2015,Korea,Reproductive health,5.329550024
2016,Korea,Reproductive health,5.456789321
2017,Korea,Reproductive health,6.604696993
2018,Korea,Reproductive health,6.585737135
2019,Korea,Reproductive health,6.700872367
2020,Korea,Reproductive health,6.402838096
2021,Korea,Reproductive health,8.641882751
2011,Kuwait,Reproductive health,0.512654097
2012,Kuwait,Reproductive health,0.11258107
2013,Kuwait,Reproductive health,0.049463879
2014,Kuwait,Reproductive health,0.110804836
2015,Kuwait,Reproductive health,0.002827153
2016,Kuwait,Reproductive health,0.12179208
2017,Kuwait,Reproductive health,0.085454426
2018,Kuwait,Reproductive health,0.459007061
2019,Kuwait,Reproductive health,0.366050092
2020,Kuwait,Reproductive health,0.269972105
2021,Kuwait,Reproductive health,0.221349457
2016,Latvia,Reproductive health,0.001428391
2017,Latvia,Reproductive health,0.002020371
2018,Latvia,Reproductive health,0.000977325
2019,Latvia,Reproductive health,0.000856759
2020,Latvia,Reproductive health,0.000834016
2021,Latvia,Reproductive health,0.000528435
2021,Liechtenstein,Reproductive health,0.005855514
2014,Lithuania,Reproductive health,0.000744345
2015,Lithuania,Reproductive health,0.029308555
2016,Lithuania,Reproductive health,0.010397515
2017,Lithuania,Reproductive health,0.002026604
2018,Lithuania,Reproductive health,0.002659108
2019,Lithuania,Reproductive health,0.001904629
2020,Lithuania,Reproductive health,0.002849392
2021,Lithuania,Reproductive health,0.001793912
2011,Luxembourg,Reproductive health,2.646856009
2012,Luxembourg,Reproductive health,2.25469081
2013,Luxembourg,Reproductive health,2.405269248
2014,Luxembourg,Reproductive health,3.27119335
2015,Luxembourg,Reproductive health,2.673513889
2016,Luxembourg,Reproductive health,10.78661521
2017,Luxembourg,Reproductive health,2.404719756
2018,Luxembourg,Reproductive health,6.375184103
2019,Luxembourg,Reproductive health,6.982837014
2020,Luxembourg,Reproductive health,2.269611813
2021,Luxembourg,Reproductive health,1.963299806
2015,Malta,Reproductive health,0.005400174
2016,Malta,Reproductive health,0.022516948
2017,Malta,Reproductive health,0.015183343
2018,Malta,Reproductive health,0.020497638
2019,Malta,Reproductive health,0.034864772
2021,Malta,Reproductive health,0.00090916
2011,Netherlands,Reproductive health,41.0553726
2012,Netherlands,Reproductive health,36.5059655
2013,Netherlands,Reproductive health,42.07612239
2014,Netherlands,Reproductive health,40.75845162
2015,Netherlands,Reproductive health,47.35480996
2016,Netherlands,Reproductive health,73.47411694
2017,Netherlands,Reproductive health,79.02438963
2018,Netherlands,Reproductive health,88.60673594
2019,Netherlands,Reproductive health,79.8710279
2020,Netherlands,Reproductive health,83.01166466
2021,Netherlands,Reproductive health,87.95136733
2011,New Zealand,Reproductive health,3.608641941
2012,New Zealand,Reproductive health,2.236890878
2013,New Zealand,Reproductive health,2.022122884
2014,New Zealand,Reproductive health,1.209856257
2015,New Zealand,Reproductive health,1.666887169
2016,New Zealand,Reproductive health,1.629913587
2017,New Zealand,Reproductive health,1.3867015
2018,New Zealand,Reproductive health,1.753493122
2019,New Zealand,Reproductive health,1.755621205
2020,New Zealand,Reproductive health,3.265182847
2021,New Zealand,Reproductive health,3.242900341
2011,Nordic Development Fund,Reproductive health,0
2012,Nordic Development Fund,Reproductive health,0
2013,Nordic Development Fund,Reproductive health,0
2014,Nordic Development Fund,Reproductive health,0
2015,Nordic Development Fund,Reproductive health,0
2016,Nordic Development Fund,Reproductive health,0
2017,Nordic Development Fund,Reproductive health,0
2018,Nordic Development Fund,Reproductive health,0
2019,Nordic Development Fund,Reproductive health,0
2020,Nordic Development Fund,Reproductive health,0
2021,Nordic Development Fund,Reproductive health,0
2011,Norway,Reproductive health,26.39510462
2012,Norway,Reproductive health,22.19188378
2013,Norway,Reproductive health,44.2613678
2014,Norway,Reproductive health,42.97695684
2015,Norway,Reproductive health,30.38046519
2016,Norway,Reproductive health,17.50143624
2017,Norway,Reproductive health,14.82829512
2018,Norway,Reproductive health,24.915204
2019,Norway,Reproductive health,28.43547606
2020,Norway,Reproductive health,25.32369077
2021,Norway,Reproductive health,25.30100751
2011,OPEC Fund for International Development,Reproductive health,5.032858373
2012,OPEC Fund for International Development,Reproductive health,4.666516617
2013,OPEC Fund for International Development,Reproductive health,3.898255795
2014,OPEC Fund for International Development,Reproductive health,2.59160129
2015,OPEC Fund for International Development,Reproductive health,1.162129942
2016,OPEC Fund for International Development,Reproductive health,0.794181015
2017,OPEC Fund for International Development,Reproductive health,0.335132464
2018,OPEC Fund for International Development,Reproductive health,0.486892542
2019,OPEC Fund for International Development,Reproductive health,0.304127941
2020,OPEC Fund for International Development,Reproductive health,0.320899242
2021,OPEC Fund for International Development,Reproductive health,0.392793853
2013,Poland,Reproductive health,0.146474616
2014,Poland,Reproductive health,0.060139218
2015,Poland,Reproductive health,0.078547956
2016,Poland,Reproductive health,0.090297193
2017,Poland,Reproductive health,0.123817912
2018,Poland,Reproductive health,0.101494986
2019,Poland,Reproductive health,0.290851747
2020,Poland,Reproductive health,0.26359782
2021,Poland,Reproductive health,0.082661551
2011,Portugal,Reproductive health,0.600313734
2012,Portugal,Reproductive health,0.364938626
2013,Portugal,Reproductive health,0.47032259
2014,Portugal,Reproductive health,0.423500332
2015,Portugal,Reproductive health,0.508567711
2016,Portugal,Reproductive health,0.40110689
2017,Portugal,Reproductive health,0.25875908
2018,Portugal,Reproductive health,0.352055735
2019,Portugal,Reproductive health,0.342477985
2020,Portugal,Reproductive health,0.231891126
2021,Portugal,Reproductive health,0.135052535
2019,Qatar,Reproductive health,0.920532057
2020,Qatar,Reproductive health,2.361350513
2021,Qatar,Reproductive health,0.658866464
2014,Romania,Reproductive health,0.066161223
2015,Romania,Reproductive health,0.001907179
2016,Romania,Reproductive health,0.011159769
2017,Romania,Reproductive health,0.006761327
2018,Romania,Reproductive health,0.016071352
2019,Romania,Reproductive health,0.016310296
2020,Romania,Reproductive health,0.007857627
2021,Romania,Reproductive health,0.006474356
2019,Russia,Reproductive health,1.835818064
2020,Russia,Reproductive health,2.551687716
2015,Saudi Arabia,Reproductive health,2.844478323
2016,Saudi Arabia,Reproductive health,3.484493139
2017,Saudi Arabia,Reproductive health,13.13606974
2018,Saudi Arabia,Reproductive health,3.776124133
2019,Saudi Arabia,Reproductive health,7.314717194
2020,Saudi Arabia,Reproductive health,5.087768286
2021,Saudi Arabia,Reproductive health,60.91715066
2013,Slovak Republic,Reproductive health,0.011438171
2014,Slovak Republic,Reproductive health,0.026172565
2015,Slovak Republic,Reproductive health,0.015158047
2016,Slovak Republic,Reproductive health,0.023156117
2017,Slovak Republic,Reproductive health,0.016983648
2018,Slovak Republic,Reproductive health,0.042854179
2019,Slovak Republic,Reproductive health,0.028418016
2020,Slovak Republic,Reproductive health,0.045648987
2021,Slovak Republic,Reproductive health,0.038663726
2011,Slovenia,Reproductive health,0.0221159
2012,Slovenia,Reproductive health,0.026104295
2013,Slovenia,Reproductive health,0.016806724
2014,Slovenia,Reproductive health,0.003188462
2015,Slovenia,Reproductive health,0.008478265
2016,Slovenia,Reproductive health,0.011149889
2017,Slovenia,Reproductive health,0.011768298
2018,Slovenia,Reproductive health,0.009288119
2019,Slovenia,Reproductive health,0.007968923
2020,Slovenia,Reproductive health,0.003336987
2021,Slovenia,Reproductive health,0.017234389
2011,Spain,Reproductive health,7.362110982
2012,Spain,Reproductive health,5.117565083
2013,Spain,Reproductive health,6.257486585
2014,Spain,Reproductive health,3.383214004
2015,Spain,Reproductive health,2.497231064
2016,Spain,Reproductive health,3.410208212
2017,Spain,Reproductive health,2.65905674
2018,Spain,Reproductive health,3.340414711
2019,Spain,Reproductive health,3.206622293
2020,Spain,Reproductive health,3.948864838
2021,Spain,Reproductive health,4.168480237
2011,Sweden,Reproductive health,33.75582022
2012,Sweden,Reproductive health,47.11549049
2013,Sweden,Reproductive health,38.07554596
2014,Sweden,Reproductive health,34.39172173
2015,Sweden,Reproductive health,32.60892276
2016,Sweden,Reproductive health,34.87642937
2017,Sweden,Reproductive health,29.56360302
2018,Sweden,Reproductive health,26.55336547
2019,Sweden,Reproductive health,28.73948997
2020,Sweden,Reproductive health,35.07174833
2021,Sweden,Reproductive health,52.23148378
2011,Switzerland,Reproductive health,6.172188347
2012,Switzerland,Reproductive health,6.191776673
2013,Switzerland,Reproductive health,5.788553098
2014,Switzerland,Reproductive health,5.965928516
2015,Switzerland,Reproductive health,8.212387336
2016,Switzerland,Reproductive health,7.796773365
2017,Switzerland,Reproductive health,8.204683126
2018,Switzerland,Reproductive health,6.736627464
2019,Switzerland,Reproductive health,7.201388311
2020,Switzerland,Reproductive health,9.242668486
2021,Switzerland,Reproductive health,9.837883601
2016,Thailand,Reproductive health,0.006092055
2017,Thailand,Reproductive health,0
2021,Thailand,Reproductive health,0.02109908
2014,Timor-Leste,Reproductive health,0.010206345
2015,Timor-Leste,Reproductive health,0.004466636
2015,Türkiye,Reproductive health,2.503446402
2016,Türkiye,Reproductive health,5.506016977
2017,Türkiye,Reproductive health,7.430437251
2018,Türkiye,Reproductive health,10.1921299
2019,Türkiye,Reproductive health,9.000495181
2020,Türkiye,Reproductive health,6.899500945
2021,Türkiye,Reproductive health,6.94312863
2021,UN Capital Development Fund,Reproductive health,0.004433105
2011,UN Peacebuilding Fund,Reproductive health,0
2012,UN Peacebuilding Fund,Reproductive health,0.733816002
2013,UN Peacebuilding Fund,Reproductive health,0.000985548
2014,UN Peacebuilding Fund,Reproductive health,0.461561724
2015,UN Peacebuilding Fund,Reproductive health,0.329752566
2016,UN Peacebuilding Fund,Reproductive health,0.000019028
2017,UN Peacebuilding Fund,Reproductive health,0.000010483
2019,UN Peacebuilding Fund,Reproductive health,0
2021,UN Peacebuilding Fund,Reproductive health,0.01947158
2011,UNAIDS,Reproductive health,84.83556132
2012,UNAIDS,Reproductive health,84.32963777
2013,UNAIDS,Reproductive health,77.98667648
2014,UNAIDS,Reproductive health,29.19430985
2015,UNAIDS,Reproductive health,81.01036613
2016,UNAIDS,Reproductive health,73.40443585
2017,UNAIDS,Reproductive health,63.38898783
2018,UNAIDS,Reproductive health,79.17902088
2019,UNAIDS,Reproductive health,7.461974538
2011,UNDP,Reproductive health,6.48965813
2012,UNDP,Reproductive health,6.232285092
2013,UNDP,Reproductive health,5.678610252
2014,UNDP,Reproductive health,3.347694062
2015,UNDP,Reproductive health,2.621452293
2016,UNDP,Reproductive health,3.719286675
2017,UNDP,Reproductive health,3.357731282
2018,UNDP,Reproductive health,0.752901749
2019,UNDP,Reproductive health,0.418987649
2020,UNDP,Reproductive health,0.004582976
2021,UNDP,Reproductive health,1.408024232
2011,UNECE,Reproductive health,0.001227096
2012,UNECE,Reproductive health,0.084241872
2013,UNECE,Reproductive health,0.112520772
2014,UNECE,Reproductive health,0.069705792
2015,UNECE,Reproductive health,0.097728228
2016,UNECE,Reproductive health,0.06141681
2017,UNECE,Reproductive health,0.073210878
2015,UNEP,Reproductive health,0
2016,UNEP,Reproductive health,0
2011,UNFPA,Reproductive health,37.52504076
2012,UNFPA,Reproductive health,42.48849576
2013,UNFPA,Reproductive health,42.84385099
2014,UNFPA,Reproductive health,40.94865854
2015,UNFPA,Reproductive health,41.90741137
2016,UNFPA,Reproductive health,34.74023887
2017,UNFPA,Reproductive health,28.43417727
2018,UNFPA,Reproductive health,26.82894315
2019,UNFPA,Reproductive health,53.82649721
2020,UNFPA,Reproductive health,53.93334444
2021,UNFPA,Reproductive health,38.93738748
2011,UNHCR,Reproductive health,0.346243596
2012,UNHCR,Reproductive health,0.332273214
2013,UNHCR,Reproductive health,0.295747285
2014,UNHCR,Reproductive health,0.350115608
2015,UNHCR,Reproductive health,0.45182944
2016,UNHCR,Reproductive health,0.57412943
2017,UNHCR,Reproductive health,0.584290388
2018,UNHCR,Reproductive health,0.515392784
2019,UNHCR,Reproductive health,0.730138122
2020,UNHCR,Reproductive health,0.667944796
2021,UNHCR,Reproductive health,0.59702033
2011,UNICEF,Reproductive health,10.02382666
2012,UNICEF,Reproductive health,10.70800389
2013,UNICEF,Reproductive health,11.53339418
2014,UNICEF,Reproductive health,12.33089218
2015,UNICEF,Reproductive health,14.30380928
2016,UNICEF,Reproductive health,14.83853889
2017,UNICEF,Reproductive health,15.36967208
2018,UNICEF,Reproductive health,14.50040285
2019,UNICEF,Reproductive health,10.08467929
2020,UNICEF,Reproductive health,9.316087668
2021,UNICEF,Reproductive health,8.160363
2011,United Arab Emirates,Reproductive health,8.741160414
2012,United Arab Emirates,Reproductive health,1.372067078
2013,United Arab Emirates,Reproductive health,36.91594369
2014,United Arab Emirates,Reproductive health,10.48905733
2015,United Arab Emirates,Reproductive health,35.55492479
2016,United Arab Emirates,Reproductive health,35.97143353
2017,United Arab Emirates,Reproductive health,51.69620186
2018,United Arab Emirates,Reproductive health,18.2998997
2019,United Arab Emirates,Reproductive health,14.98187975
2020,United Arab Emirates,Reproductive health,17.37913169
2021,United Arab Emirates,Reproductive health,4.69015361
2011,United Kingdom,Reproductive health,234.9994909
2012,United Kingdom,Reproductive health,328.569041
2013,United Kingdom,Reproductive health,180.7678133
2014,United Kingdom,Reproductive health,366.0184155
2015,United Kingdom,Reproductive health,250.9976538
2016,United Kingdom,Reproductive health,209.0818066
2017,United Kingdom,Reproductive health,282.8675674
2018,United Kingdom,Reproductive health,315.3243928
2019,United Kingdom,Reproductive health,416.6967915
2020,United Kingdom,Reproductive health,265.4620735
2021,United Kingdom,Reproductive health,196.7723869
2021,United Nations Industrial Development Organization,Reproductive health,0
2011,United States,Reproductive health,3612.128748
2012,United States,Reproductive health,3446.479441
2013,United States,Reproductive health,3621.885004
2014,United States,Reproductive health,3344.839083
2015,United States,Reproductive health,3110.408798
2016,United States,Reproductive health,3209.064638
2017,United States,Reproductive health,3664.193658
2018,United States,Reproductive health,3532.519255
2019,United States,Reproductive health,2308.469897
2020,United States,Reproductive health,2965.78187
2021,United States,Reproductive health,2684.272297
2011,UNRWA,Reproductive health,0.6557109
2012,UNRWA,Reproductive health,0.740366957
2013,UNRWA,Reproductive health,0.599771825
2014,UNRWA,Reproductive health,0.676755899
2015,UNRWA,Reproductive health,1.122902885
2016,UNRWA,Reproductive health,0.876409613
2017,UNRWA,Reproductive health,1.068288289
2018,UNRWA,Reproductive health,0.794464485
2019,UNRWA,Reproductive health,0.784849148
2020,UNRWA,Reproductive health,0.790287282
2021,UNRWA,Reproductive health,0.722930819
2011,WFP,Reproductive health,1.736300124
2012,WFP,Reproductive health,2.789756371
2013,WFP,Reproductive health,1.976984844
2014,WFP,Reproductive health,1.27438207
2015,WFP,Reproductive health,0.543986579
2016,WFP,Reproductive health,0.533410554
2017,WFP,Reproductive health,0.639499695
2018,WFP,Reproductive health,0.022878016
2019,WFP,Reproductive health,0.017941534
2020,WFP,Reproductive health,0.041896755
2021,WFP,Reproductive health,0.04082949
2011,World Health Organisation,Reproductive health,9.908454152
2012,World Health Organisation,Reproductive health,7.491370532
2013,World Health Organisation,Reproductive health,11.69923904
2014,World Health Organisation,Reproductive health,16.14895503
2015,World Health Organisation,Reproductive health,25.91176102
2016,World Health Organisation,Reproductive health,18.57746213
2017,World Health Organisation,Reproductive health,20.85245857
2018,World Health Organisation,Reproductive health,17.28362329
2019,World Health Organisation,Reproductive health,20.50005334
2020,World Health Organisation,Reproductive health,9.893200662
2021,World Health Organisation,Reproductive health,12.40983823
2011,All donors (total),Reproductive health,5378.489815
2012,All donors (total),Reproductive health,5435.128695
2013,All donors (total),Reproductive health,5588.826525
2014,All donors (total),Reproductive health,5149.836744
2015,All donors (total),Reproductive health,4877.555439
2016,All donors (total),Reproductive health,4991.888342
2017,All donors (total),Reproductive health,5588.778995
2018,All donors (total),Reproductive health,5193.490596
2019,All donors (total),Reproductive health,4030.654421
2020,All donors (total),Reproductive health,5411.498619
2021,All donors (total),Reproductive health,5203.412988
2011,DAC donors (total),Reproductive health,4247.973834
2012,DAC donors (total),Reproductive health,4171.190237
2013,DAC donors (total),Reproductive health,4214.933759
2014,DAC donors (total),Reproductive health,4106.541467
2015,DAC donors (total),Reproductive health,3697.132366
2016,DAC donors (total),Reproductive health,3768.458339
