donor_name,aid_type_di_name,year,purpose_name,purpose_code,usd_disbursement_deflated_Sum
Italy,"Core support to NGOs, PPPs and research institutes",2019,Family planning,13030,0.071665506
Italy,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,0.313035246
Italy,"Core support to NGOs, PPPs and research institutes",2020,Family planning,13030,0.058560138000000005
Italy,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,0.594908064
Italy,"Core support to NGOs, PPPs and research institutes",2021,Family planning,13030,0.06771076199999991
Italy,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,0.243303048
Italy,"Core support to NGOs, PPPs and research institutes",2022,Family planning,13030,0.067677714
Italy,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,1.6540450560000006
Italy,Project interventions,2017,Reproductive health care,13020,1.732677264
Italy,Project interventions,2018,Family planning,13030,0.25028076600000004
Italy,Project interventions,2018,Reproductive health care,13020,5.798382678
Italy,Project interventions,2019,Family planning,13030,0.000887706
Italy,Project interventions,2019,Reproductive health care,13020,5.0953277880000005
Italy,Project interventions,2020,Family planning,13030,0.194408532
Italy,Project interventions,2020,Reproductive health care,13020,1.8781921980000003
Italy,Project interventions,2021,Family planning,13030,0.07295346
Italy,Project interventions,2021,Reproductive health care,13020,1.927352016
Italy,Project interventions,2022,Family planning,13030,0.09937809
Italy,Project interventions,2022,Reproductive health care,13020,8.507935872
Italy,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,0.565734942
Italy,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,0.0
Italy,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,0.750728466
Italy,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,0.31552119
Japan,"Core support to NGOs, PPPs and research institutes",2017,Family planning,13030,0.229099157
Japan,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,8.385172921999999
Japan,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,7.004636191
Japan,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,5.358235015000001
Japan,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,3.198308498
Japan,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,3.1549358539999997
Japan,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,3.082334906
Japan,Non-transfer,2018,Reproductive health care,13020,0.011582031999999999
Japan,Project interventions,2017,Family planning,13030,1.5280068859999998
Japan,Project interventions,2017,Reproductive health care,13020,15.344244013000003
Japan,Project interventions,2018,Reproductive health care,13020,15.794816211999999
Japan,Project interventions,2019,Reproductive health care,13020,12.916480506999996
Japan,Project interventions,2020,Reproductive health care,13020,10.592968616999991
Japan,Project interventions,2021,Reproductive health care,13020,11.744771044999991
Japan,Project interventions,2022,Reproductive health care,13020,43.07636006099998
Japan,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,8.337635278
Japan,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,5.89949759
Japan,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,4.494109137000001
Japan,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,3.8155398399999996
Japan,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,8.963597293
Japan,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,5.218227706999999
Joint Sustainable Development Goals Fund,Project interventions,2022,Reproductive health care,13020,0.6239007599999999
Korea,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,0.072648875
Korea,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,0.13373547
Korea,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,0.14075646
Korea,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,0.12781134
Korea,Project interventions,2017,Reproductive health care,13020,18.25118568
Korea,Project interventions,2018,Family planning,13030,1.234442625
Korea,Project interventions,2018,Reproductive health care,13020,12.16715304
Korea,Project interventions,2019,Family planning,13030,2.601311185
Korea,Project interventions,2019,Reproductive health care,13020,6.447919564999999
Korea,Project interventions,2020,Family planning,13030,1.69937823
Korea,Project interventions,2020,Reproductive health care,13020,11.907922125000002
Korea,Project interventions,2021,Family planning,13030,1.2659275749999999
Korea,Project interventions,2021,Reproductive health care,13020,17.24070793
Korea,Project interventions,2022,Family planning,13030,2.824350245
Korea,Project interventions,2022,Reproductive health care,13020,16.469379144999998
Korea,Technical assistance,2017,Family planning,13030,0.027552725
Korea,Technical assistance,2017,Reproductive health care,13020,0.31763870999999994
Korea,Technical assistance,2018,Reproductive health care,13020,0.1785384
Korea,Technical assistance,2019,Reproductive health care,13020,0.25191308500000004
Korea,Technical assistance,2021,Reproductive health care,13020,0.45076692500000004
Korea,Technical assistance,2022,Reproductive health care,13020,0.48821673
Luxembourg,Project interventions,2017,Family planning,13030,0.017430412
Luxembourg,Project interventions,2017,Reproductive health care,13020,2.508027318
Luxembourg,Project interventions,2018,Family planning,13030,3.536935561
Luxembourg,Project interventions,2018,Reproductive health care,13020,4.1366675299999995
Luxembourg,Project interventions,2019,Family planning,13030,3.168466798
Luxembourg,Project interventions,2019,Reproductive health care,13020,0.567800103
Luxembourg,Project interventions,2020,Family planning,13030,0.011111369
Luxembourg,Project interventions,2020,Reproductive health care,13020,3.1574365269999998
Luxembourg,Project interventions,2021,Family planning,13030,0.001513515
Luxembourg,Project interventions,2021,Reproductive health care,13020,0.018796819
Luxembourg,Project interventions,2022,Family planning,13030,0.025857059999999998
Luxembourg,Project interventions,2022,Reproductive health care,13020,0.015373729000000001
Luxembourg,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,2.229160529
Luxembourg,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,0.5768198979999999
Luxembourg,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,3.3823797469999994
Monaco,Project interventions,2021,Reproductive health care,13020,0.7401075500000001
Monaco,Project interventions,2022,Reproductive health care,13020,0.37118172
Netherlands,Basket funds/pooled funding,2017,Reproductive health care,13020,13.724958323
Netherlands,Basket funds/pooled funding,2018,Reproductive health care,13020,11.592684317
Netherlands,Basket funds/pooled funding,2019,Reproductive health care,13020,12.993621592
Netherlands,Basket funds/pooled funding,2021,Reproductive health care,13020,0.0
Netherlands,Basket funds/pooled funding,2022,Reproductive health care,13020,4.208448414999999
Netherlands,"Core support to NGOs, PPPs and research institutes",2017,Family planning,13030,5.114695403
Netherlands,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,22.631867728999996
Netherlands,"Core support to NGOs, PPPs and research institutes",2018,Family planning,13030,6.14346906
Netherlands,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,16.213765936999998
Netherlands,"Core support to NGOs, PPPs and research institutes",2019,Family planning,13030,3.427537922
Netherlands,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,19.525108237999998
Netherlands,"Core support to NGOs, PPPs and research institutes",2020,Family planning,13030,1.581286512
Netherlands,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,12.39396746
Netherlands,"Core support to NGOs, PPPs and research institutes",2021,Family planning,13030,1.4021558699999999
Netherlands,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,14.143565937
Netherlands,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,11.500949049999997
Netherlands,Project interventions,2017,Family planning,13030,23.566419055999997
Netherlands,Project interventions,2017,Reproductive health care,13020,130.90117095699998
Netherlands,Project interventions,2018,Family planning,13030,20.281533911
Netherlands,Project interventions,2018,Reproductive health care,13020,131.995121097
Netherlands,Project interventions,2019,Family planning,13030,27.305775207
Netherlands,Project interventions,2019,Reproductive health care,13020,139.54915292099997
Netherlands,Project interventions,2020,Family planning,13030,37.616806232
Netherlands,Project interventions,2020,Reproductive health care,13020,135.42909639999996
Netherlands,Project interventions,2021,Family planning,13030,30.463058869999998
Netherlands,Project interventions,2021,Reproductive health care,13020,127.767527096
Netherlands,Project interventions,2022,Family planning,13030,40.556316147
Netherlands,Project interventions,2022,Reproductive health care,13020,168.11153670500005
Netherlands,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,22.155728315999998
Netherlands,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,8.102486146
Netherlands,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,7.33459627
Netherlands,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,10.464833711
Netherlands,Technical assistance,2017,Family planning,13030,0.22890954199999988
Netherlands,Technical assistance,2017,Reproductive health care,13020,1.9844805460000001
Netherlands,Technical assistance,2018,Family planning,13030,0.01436907
Netherlands,Technical assistance,2018,Reproductive health care,13020,2.704305083
Netherlands,Technical assistance,2019,Reproductive health care,13020,0.8309669879999999
Netherlands,Technical assistance,2020,Reproductive health care,13020,0.45646028
Netherlands,Technical assistance,2021,Reproductive health care,13020,0.45985070299999997
Netherlands,Technical assistance,2022,Reproductive health care,13020,0.23235077899999998
New Zealand,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,1.825892707
New Zealand,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,1.8025434749999998
New Zealand,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,1.760395346
New Zealand,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,1.722193366
New Zealand,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,1.674328198
New Zealand,"Core support to NGOs, PPPs and research institutes",2022,Family planning,13030,0.554533843
New Zealand,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,0.554533843
New Zealand,Project interventions,2017,Family planning,13030,0.365178352
New Zealand,Project interventions,2017,Reproductive health care,13020,0.020450464999999998
New Zealand,Project interventions,2018,Family planning,13030,0.5775383669999999
New Zealand,Project interventions,2018,Reproductive health care,13020,0.01342846
New Zealand,Project interventions,2019,Family planning,13030,0.531534054
New Zealand,Project interventions,2019,Reproductive health care,13020,0.497763087
New Zealand,Project interventions,2020,Family planning,13030,0.5549382119999999
New Zealand,Project interventions,2020,Reproductive health care,13020,0.45306089899999996
New Zealand,Project interventions,2021,Family planning,13030,0.523523381
New Zealand,Project interventions,2021,Reproductive health care,13020,0.402452272
New Zealand,Project interventions,2022,Family planning,13030,0.15841700099999997
New Zealand,Project interventions,2022,Reproductive health care,13020,0.108904053
New Zealand,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,0.730356704
New Zealand,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,0.670546078
New Zealand,Specific-purpose programmes and funds managed by implementing partners,2019,Family planning,13030,0.34503755599999997
New Zealand,Specific-purpose programmes and funds managed by implementing partners,2020,Family planning,13030,1.033316209
New Zealand,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,0.42044906
New Zealand,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,0.42044906
New Zealand,Technical assistance,2021,Reproductive health care,13020,0.052394669
Norway,"Core support to NGOs, PPPs and research institutes",2017,Family planning,13030,
Norway,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,21.45460941
Norway,"Core support to NGOs, PPPs and research institutes",2018,Family planning,13030,0.539857149
Norway,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,22.757710156999998
Norway,"Core support to NGOs, PPPs and research institutes",2019,Family planning,13030,0.688303811
Norway,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,20.698557346999998
Norway,"Core support to NGOs, PPPs and research institutes",2020,Family planning,13030,0.7463108509999999
Norway,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,23.44574206
Norway,"Core support to NGOs, PPPs and research institutes",2021,Family planning,13030,0.252396443
Norway,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,16.589793324
Norway,"Core support to NGOs, PPPs and research institutes",2022,Family planning,13030,0.371689604
Norway,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,14.980686018999998
Norway,Project interventions,2017,Family planning,13030,2.352703392
Norway,Project interventions,2017,Reproductive health care,13020,7.490068404
Norway,Project interventions,2018,Family planning,13030,5.5219724040000004
Norway,Project interventions,2018,Reproductive health care,13020,5.685479748
Norway,Project interventions,2019,Family planning,13030,5.601462334
Norway,Project interventions,2019,Reproductive health care,13020,7.408185252
Norway,Project interventions,2020,Family planning,13030,5.421613534999999
Norway,Project interventions,2020,Reproductive health care,13020,8.328826896
Norway,Project interventions,2021,Family planning,13030,2.925829348
Norway,Project interventions,2021,Reproductive health care,13020,1.97258464
Norway,Project interventions,2022,Family planning,13030,3.827981248
Norway,Project interventions,2022,Reproductive health care,13020,4.686872801
Norway,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,1.051654903
Norway,Specific-purpose programmes and funds managed by implementing partners,2018,Family planning,13030,8.451997983
Norway,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,6.338998757000001
Norway,Specific-purpose programmes and funds managed by implementing partners,2019,Family planning,13030,13.092037868
Norway,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,1.149975541
Norway,Specific-purpose programmes and funds managed by implementing partners,2020,Family planning,13030,8.73627456
Norway,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,2.349250592
Norway,Specific-purpose programmes and funds managed by implementing partners,2021,Family planning,13030,13.43804943
Norway,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,5.334195113
Norway,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,20.081069385
Norway,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,7.257278469999999
Norway,Technical assistance,2017,Family planning,13030,0.363166583
Norway,Technical assistance,2017,Reproductive health care,13020,0.6565499199999999
Norway,Technical assistance,2018,Family planning,13030,0.2443708409999999
Norway,Technical assistance,2018,Reproductive health care,13020,0.459764058
Norway,Technical assistance,2019,Reproductive health care,13020,0.6967102999999999
Norway,Technical assistance,2020,Reproductive health care,13020,0.5468954659999999
Norway,Technical assistance,2021,Reproductive health care,13020,0.297659414
Norway,Technical assistance,2022,Reproductive health care,13020,0.07089029999999999
OPEC Fund for International Development,Project interventions,2017,Reproductive health care,13020,0.33838497
OPEC Fund for International Development,Project interventions,2018,Reproductive health care,13020,0.25953522
OPEC Fund for International Development,Project interventions,2019,Reproductive health care,13020,0.158639418
Poland,Project interventions,2017,Reproductive health care,13020,0.07295232
Poland,Project interventions,2018,Reproductive health care,13020,0.034039908
Poland,Project interventions,2019,Reproductive health care,13020,0.017667174
Poland,Project interventions,2021,Family planning,13030,0.007425642
Poland,Project interventions,2021,Reproductive health care,13020,0.025018434
Poland,Project interventions,2022,Family planning,13030,0.0028999319999999996
Poland,Project interventions,2022,Reproductive health care,13020,0.096451236
Poland,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,0.10289059199999999
Poland,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,0.064937418
Poland,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,0.054805044
Poland,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,0.039426324
Poland,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,0.037530065999999994
Poland,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,0.06731088
Portugal,Project interventions,2017,Reproductive health care,13020,0.540716904
Portugal,Project interventions,2018,Reproductive health care,13020,0.986311872
Portugal,Project interventions,2019,Reproductive health care,13020,0.6755046480000001
Portugal,Project interventions,2020,Reproductive health care,13020,0.26922168
Portugal,Project interventions,2021,Reproductive health care,13020,0.093594384
Portugal,Project interventions,2022,Reproductive health care,13020,0.081397368
Portugal,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,0.023297976
Portugal,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,0.05611975200000001
Portugal,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,0.084108024
Qatar,Project interventions,2019,Reproductive health care,13020,0.253822296
Qatar,Project interventions,2020,Reproductive health care,13020,2.3624341440000003
Qatar,Technical assistance,2021,Reproductive health care,13020,0.034870668
Saudi Arabia,Project interventions,2017,Reproductive health care,13020,2.1643481159999998
Saudi Arabia,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,5.317729535999999
Slovak Republic,Project interventions,2017,Reproductive health care,13020,0.0
Slovak Republic,Project interventions,2018,Reproductive health care,13020,0.19326132000000001
Slovak Republic,Project interventions,2019,Reproductive health care,13020,0.047078945999999997
Slovak Republic,Project interventions,2020,Reproductive health care,13020,0.18481651200000002
Slovak Republic,Project interventions,2021,Reproductive health care,13020,0.15794710199999998
Slovak Republic,Project interventions,2022,Reproductive health care,13020,0.140855238
Slovenia,Project interventions,2017,Reproductive health care,13020,0.030408048
Slovenia,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,0.00608142
Slovenia,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,0.029778576
Slovenia,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,0.029120663999999997
Slovenia,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,0.089687436
Slovenia,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,0.052571339999999994
Spain,Project interventions,2017,Family planning,13030,0.36796636000000005
Spain,Project interventions,2017,Reproductive health care,13020,7.290004320000003
Spain,Project interventions,2018,Family planning,13030,0.3971638599999999
Spain,Project interventions,2018,Reproductive health care,13020,10.676950044000002
Spain,Project interventions,2019,Family planning,13030,0.291615012
Spain,Project interventions,2019,Reproductive health care,13020,10.590083016
Spain,Project interventions,2020,Family planning,13030,0.49426444
Spain,Project interventions,2020,Reproductive health care,13020,8.914474444
Spain,Project interventions,2021,Family planning,13030,0.8443733800000001
Spain,Project interventions,2021,Reproductive health care,13020,9.002844628
Spain,Project interventions,2022,Family planning,13030,0.515136416
Spain,Project interventions,2022,Reproductive health care,13020,9.495021503999995
Spain,Specific-purpose programmes and funds managed by implementing partners,2017,Family planning,13030,0.0
Spain,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,0.18204309200000002
Spain,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,0.284499524
Spain,Specific-purpose programmes and funds managed by implementing partners,2019,Family planning,13030,0.22435221600000002
Spain,Specific-purpose programmes and funds managed by implementing partners,2020,Family planning,13030,0.443271636
Spain,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,0.22163627600000002
Spain,Specific-purpose programmes and funds managed by implementing partners,2021,Family planning,13030,0.541627136
Spain,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,0.216650488
Spain,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,0.7571399520000001
Spain,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,1.7561451240000001
Spain,Technical assistance,2018,Reproductive health care,13020,0.002219468
Spain,Technical assistance,2019,Reproductive health care,13020,0.010656744000000001
Sweden,Basket funds/pooled funding,2017,Reproductive health care,13020,6.3596412
Sweden,Basket funds/pooled funding,2018,Reproductive health care,13020,22.234347806
Sweden,Basket funds/pooled funding,2021,Reproductive health care,13020,0.02839496
Sweden,Basket funds/pooled funding,2022,Family planning,13030,0.0
Sweden,Basket funds/pooled funding,2022,Reproductive health care,13020,0.49487057400000006
Sweden,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,30.747746722000002
Sweden,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,14.171753156
Sweden,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,14.2356346
Sweden,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,7.953475200000001
Sweden,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,10.253707793999997
Sweden,"Core support to NGOs, PPPs and research institutes",2022,Family planning,13030,4.948703936
Sweden,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,13.955345316
Sweden,Project interventions,2017,Reproductive health care,13020,26.424867523999996
Sweden,Project interventions,2018,Reproductive health care,13020,26.304212396
Sweden,Project interventions,2019,Reproductive health care,13020,46.991994609999985
Sweden,Project interventions,2020,Reproductive health care,13020,41.632415241999986
Sweden,Project interventions,2021,Family planning,13030,8.76451301
Sweden,Project interventions,2021,Reproductive health care,13020,33.06540776000001
Sweden,Project interventions,2022,Family planning,13030,6.556421519999998
Sweden,Project interventions,2022,Reproductive health care,13020,23.276476212000002
Sweden,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,45.823312898000005
Sweden,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,38.574103963999995
Sweden,Specific-purpose programmes and funds managed by implementing partners,2019,Family planning,13030,0.10095635
Sweden,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,52.53727683599999
Sweden,Specific-purpose programmes and funds managed by implementing partners,2020,Family planning,13030,0.5635001460000001
Sweden,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,63.82588711399999
Sweden,Specific-purpose programmes and funds managed by implementing partners,2021,Family planning,13030,3.5493618820000012
Sweden,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,67.99341304800002
Sweden,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,3.400748362
Sweden,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,41.819609106000016
Sweden,Technical assistance,2017,Family planning,13030,0.370204252
Sweden,Technical assistance,2017,Reproductive health care,13020,0.9426829059999999
Sweden,Technical assistance,2018,Reproductive health care,13020,2.592836884
Sweden,Technical assistance,2019,Reproductive health care,13020,3.3032647120000007
Sweden,Technical assistance,2020,Reproductive health care,13020,4.317043258000001
Sweden,Technical assistance,2021,Family planning,13030,0.017718888
Sweden,Technical assistance,2021,Reproductive health care,13020,3.029743134
Sweden,Technical assistance,2022,Family planning,13030,0.050189986
Sweden,Technical assistance,2022,Reproductive health care,13020,1.124057968
Switzerland,Budget support,2017,Reproductive health care,13020,0.67464585
Switzerland,Budget support,2018,Reproductive health care,13020,0.432500026
Switzerland,Budget support,2019,Reproductive health care,13020,0.43780372
Switzerland,Budget support,2020,Reproductive health care,13020,0.4014765219999999
Switzerland,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,1.089178984
Switzerland,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,2.429702186
Switzerland,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,3.214370846
Switzerland,"Core support to NGOs, PPPs and research institutes",2020,Family planning,13030,0.199863186
Switzerland,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,4.140469374
Switzerland,"Core support to NGOs, PPPs and research institutes",2021,Family planning,13030,0.33518675600000003
Switzerland,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,3.6857005380000003
Switzerland,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,2.9809609820000005
Switzerland,Project interventions,2017,Family planning,13030,0.2237174839999999
Switzerland,Project interventions,2017,Reproductive health care,13020,6.413740688
Switzerland,Project interventions,2018,Family planning,13030,0.021615092
Switzerland,Project interventions,2018,Reproductive health care,13020,4.6641448200000015
Switzerland,Project interventions,2019,Reproductive health care,13020,4.982943270000001
Switzerland,Project interventions,2020,Family planning,13030,0.01635281
Switzerland,Project interventions,2020,Reproductive health care,13020,3.2988759759999993
Switzerland,Project interventions,2021,Family planning,13030,0.06310794399999989
Switzerland,Project interventions,2021,Reproductive health care,13020,6.564922096000001
Switzerland,Project interventions,2022,Family planning,13030,0.499464216
Switzerland,Project interventions,2022,Reproductive health care,13020,8.037736917999997
Switzerland,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,2.16727237
Switzerland,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,2.3872815079999996
Switzerland,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,2.645823526
Switzerland,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,3.7702451079999997
Switzerland,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,0.9074029819999999
Switzerland,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,3.265184356
Switzerland,Technical assistance,2017,Reproductive health care,13020,0.044181674000000004
Switzerland,Technical assistance,2018,Reproductive health care,13020,0.21225819199999998
Switzerland,Technical assistance,2019,Reproductive health care,13020,0.238973862
Switzerland,Technical assistance,2020,Reproductive health care,13020,0.06327556399999999
Switzerland,Technical assistance,2021,Reproductive health care,13020,0.014146141999999902
Switzerland,Technical assistance,2022,Reproductive health care,13020,0.1808343719999999
TÃ¼rkiye,Project interventions,2018,Reproductive health care,13020,0.15478851600000001
TÃ¼rkiye,Project interventions,2019,Reproductive health care,13020,0.047979864000000004
TÃ¼rkiye,Project interventions,2020,Reproductive health care,13020,0.45770886
TÃ¼rkiye,Project interventions,2021,Reproductive health care,13020,0.011286
TÃ¼rkiye,Technical assistance,2018,Family planning,13030,0.0021156120000000002
TÃ¼rkiye,Technical assistance,2021,Reproductive health care,13020,0.00513
Thailand,Specific-purpose programmes and funds managed by implementing partners,2021,Family planning,13030,0.018905586000000002
UNDP,Project interventions,2021,Reproductive health care,13020,1.1592e-05
UNDP,Project interventions,2022,Reproductive health care,13020,0.017493294
UNFPA,Project interventions,2017,Family planning,13030,19.760652492
UNFPA,Project interventions,2017,Reproductive health care,13020,39.34987089600002
UNFPA,Project interventions,2018,Family planning,13030,21.706583178000006
UNFPA,Project interventions,2018,Reproductive health care,13020,20.005088166
UNFPA,Project interventions,2019,Family planning,13030,26.272122323999994
UNFPA,Project interventions,2019,Reproductive health care,13020,34.424758536000006
UNFPA,Project interventions,2020,Family planning,13030,27.488295072
UNFPA,Project interventions,2020,Reproductive health care,13020,33.142665948000015
UNFPA,Project interventions,2021,Family planning,13030,26.497997274000003
UNFPA,Project interventions,2021,Reproductive health care,13020,32.942105028
UNFPA,Project interventions,2022,Family planning,13030,8.976162803999996
UNFPA,Project interventions,2022,Reproductive health care,13020,43.39168348199999
UNICEF,Non-transfer,2019,Reproductive health care,13020,0.5118766379999999
UNICEF,Non-transfer,2020,Reproductive health care,13020,0.26089534799999997
UNICEF,Non-transfer,2021,Reproductive health care,13020,0.17387999999999998
UNICEF,Non-transfer,2022,Family planning,13030,1.6672416179999996
UNICEF,Non-transfer,2022,Reproductive health care,13020,9.048299820000002
UNICEF,Project interventions,2017,Reproductive health care,13020,23.67039066
UNICEF,Project interventions,2018,Family planning,13030,0.12407980199999989
UNICEF,Project interventions,2018,Reproductive health care,13020,26.572329042
UNICEF,Project interventions,2019,Family planning,13030,0.139602456
UNICEF,Project interventions,2019,Reproductive health care,13020,23.30091304799999
UNICEF,Project interventions,2020,Family planning,13030,0.031840325999999995
UNICEF,Project interventions,2020,Reproductive health care,13020,19.26513120000001
UNICEF,Project interventions,2021,Family planning,13030,0.017387999999999997
UNICEF,Project interventions,2021,Reproductive health care,13020,14.064959999999996
United Arab Emirates,Specific-purpose programmes and funds managed by implementing partners,2018,Family planning,13030,0.10381408799999998
United Kingdom,Basket funds/pooled funding,2017,Family planning,13030,0.67637324
United Kingdom,Budget support,2017,Family planning,13030,0.6619743199999999
United Kingdom,Budget support,2017,Reproductive health care,13020,0.07355312
